ORIGIN_STATE_ABR,DEST_STATE_ABR,PASSENGERS,MARKET_MILES_FLOWN
AK,WA,19,1448
AK,WA,19,1448
AK,WA,19,1448
AK,WA,19,1448
AK,WA,18,1448
AK,WA,18,1448
AK,WA,18,1448
AK,WA,18,1448
AK,WA,18,1448
AK,WA,18,1448
AK,WA,18,1448
AK,WA,18,1448
AK,WA,18,1448
AK,WA,18,1448
AK,WA,18,1448
AK,WA,18,1448
AK,WA,18,1448
AK,WA,18,1448
AK,WA,18,1448
AK,WA,18,1448
AK,WA,17,1448
AK,WA,17,1448
AK,WA,17,1448
AK,WA,17,1448
AK,WA,17,1448
AK,WA,17,1448
AK,WA,17,1448
AK,WA,17,1448
AK,WA,17,1448
AK,WA,17,1448
AK,WA,17,1448
AK,WA,17,1448
AK,WA,17,1448
AK,WA,17,1448
AK,WA,17,1448
AK,WA,17,1448
AK,WA,17,1448
AK,WA,16,1448
AK,WA,16,1448
AK,WA,16,1448
AK,WA,16,1448
AK,WA,16,1448
AK,WA,16,1448
AK,WA,16,1448
AK,WA,16,1448
AK,WA,16,1448
AK,WA,16,1448
AK,WA,16,1448
AK,WA,16,1448
AK,WA,16,1448
AK,WA,16,1448
AK,WA,16,1448
AK,WA,16,1448
AK,WA,16,1448
AK,WA,16,1448
AK,WA,16,1448
AK,WA,16,1448
AK,WA,16,1448
AK,WA,16,1448
AK,WA,15,1448
AK,WA,15,1448
AK,WA,15,1448
AK,WA,15,1448
AK,WA,15,1448
AK,WA,15,1448
AK,WA,15,1448
AK,WA,15,1448
AK,WA,15,1448
AK,WA,15,1448
AK,WA,15,1448
AK,WA,15,1448
AK,WA,15,1448
AK,WA,15,1448
AK,WA,15,1448
AK,WA,15,1448
AK,WA,15,1448
AK,WA,15,1448
AK,WA,15,1448
AK,WA,15,1448
AK,WA,15,1448
AK,WA,15,1448
AK,WA,15,1448
AK,WA,15,1448
AK,WA,15,1448
AK,WA,15,1448
AK,WA,14,1448
AK,WA,14,1448
AK,WA,14,1448
AK,WA,14,1448
AK,WA,14,1448
AK,WA,14,1448
AK,WA,14,1448
AK,WA,14,1448
AK,WA,14,1448
AK,WA,14,1448
AK,WA,14,1448
AK,WA,14,1448
AK,WA,14,1448
AK,WA,14,1448
AK,WA,14,1448
AK,WA,14,1448
AK,WA,14,1448
AK,WA,14,1448
AK,WA,14,1448
AK,WA,14,1448
AK,WA,14,1448
AK,WA,14,1448
AK,WA,14,1448
AK,WA,14,1448
AK,WA,14,1448
AK,WA,14,1448
AK,WA,14,1448
AK,WA,14,1448
AK,WA,14,1448
AK,WA,13,1448
AK,WA,13,1448
AK,WA,13,1448
AK,WA,13,1448
AK,WA,13,1448
AK,WA,13,1448
AK,WA,13,1448
AK,WA,13,1448
AK,WA,13,1448
AK,WA,13,1448
AK,WA,13,1448
AK,WA,13,1448
AK,WA,13,1448
AK,WA,13,1448
AK,WA,13,1448
AK,WA,13,1448
AK,WA,13,1448
AK,WA,13,1448
AK,WA,13,1448
AK,WA,13,1448
AK,WA,13,1448
AK,WA,13,1448
AK,WA,13,1448
AK,WA,13,1448
AK,WA,13,1448
AK,WA,13,1448
AK,WA,13,1448
AK,WA,13,1448
AK,WA,13,1448
AK,WA,13,1448
AK,WA,13,1448
AK,WA,13,1448
AK,WA,13,1448
AK,WA,13,1448
AK,WA,13,1448
AK,WA,13,1448
AK,WA,12,1448
AK,WA,12,1448
AK,WA,12,1448
AK,WA,12,1448
AK,WA,12,1448
AK,WA,12,1448
AK,WA,12,1448
AK,WA,12,1448
AK,WA,12,1448
AK,WA,12,1448
AK,WA,12,1448
AK,WA,12,1448
AK,WA,12,1448
AK,WA,12,1448
AK,WA,12,1448
AK,WA,12,1448
AK,WA,12,1448
AK,WA,33,1533
AK,WA,26,1533
AK,WA,24,1533
AK,WA,14,1533
AK,WA,14,1533
AK,OR,85,1542
AK,OR,80,1542
AK,OR,70,1542
AK,OR,59,1542
AK,OR,52,1542
AK,OR,41,1542
AK,OR,41,1542
AK,OR,39,1542
AK,OR,39,1542
AK,OR,38,1542
AK,OR,37,1542
AK,OR,37,1542
AK,OR,37,1542
AK,OR,36,1542
AK,OR,33,1542
AK,OR,33,1542
AK,OR,32,1542
AK,OR,32,1542
AK,OR,27,1542
AK,OR,24,1542
AK,OR,24,1542
AK,OR,23,1542
AK,OR,23,1542
AK,OR,22,1542
AK,OR,22,1542
AK,OR,21,1542
AK,OR,21,1542
AK,OR,21,1542
AK,OR,20,1542
AK,OR,19,1542
AK,OR,18,1542
AK,OR,17,1542
AK,OR,17,1542
AK,OR,17,1542
AK,OR,16,1542
AK,OR,16,1542
AK,OR,16,1542
AK,OR,16,1542
AK,OR,16,1542
AK,OR,16,1542
AK,OR,16,1542
AK,OR,15,1542
AK,OR,15,1542
AK,OR,14,1542
AK,OR,14,1542
AK,OR,14,1542
AK,OR,14,1542
AK,OR,14,1542
AK,OR,14,1542
AK,OR,14,1542
AK,OR,13,1542
AK,OR,13,1542
AK,OR,13,1542
AK,OR,12,1542
AK,OR,12,1542
AK,OR,12,1542
AK,WA,19,1672
AK,WA,18,1672
AK,WA,13,1672
AK,WA,12,1672
AK,WA,13,1701
AK,WA,16,1736
AK,WA,15,1777
AK,WA,16,1821
AK,CA,19,2018
AK,CA,18,2018
AK,CA,13,2018
AK,CA,13,2018
AK,CA,12,2018
AK,CA,12,2018
AK,CA,18,2053
AK,CA,18,2053
AK,CA,16,2053
AK,CA,15,2053
AK,CA,14,2053
AK,CA,13,2053
AK,CA,13,2053
AK,CA,14,2092
AK,UT,30,2125
AK,CA,17,2127
AK,CA,17,2127
AK,CA,16,2127
AK,CA,16,2127
AK,CA,15,2127
AK,CA,14,2127
AK,CA,13,2127
AK,CA,12,2127
AK,UT,20,2137
AK,UT,16,2137
AK,UT,14,2137
AK,WA,23,2240
AK,WA,17,2240
AK,WA,15,2240
AK,WA,14,2240
AK,WA,13,2240
AK,WA,13,2240
AK,WA,13,2240
AK,NV,24,2304
AK,NV,22,2304
AK,NV,20,2304
AK,NV,20,2304
AK,NV,14,2304
AK,NV,14,2304
AK,NV,13,2304
AK,NV,12,2304
AK,NV,12,2304
AK,NV,46,2315
AK,NV,44,2315
AK,NV,41,2315
AK,NV,37,2315
AK,NV,36,2315
AK,NV,34,2315
AK,NV,34,2315
AK,NV,29,2315
AK,NV,29,2315
AK,NV,23,2315
AK,NV,22,2315
AK,NV,20,2315
AK,NV,17,2315
AK,NV,17,2315
AK,NV,17,2315
AK,NV,16,2315
AK,NV,15,2315
AK,NV,14,2315
AK,NV,13,2315
AK,NV,13,2315
AK,CA,74,2345
AK,CA,54,2345
AK,CA,53,2345
AK,CA,41,2345
AK,CA,39,2345
AK,CA,38,2345
AK,CA,37,2345
AK,CA,31,2345
AK,CA,29,2345
AK,CA,27,2345
AK,CA,26,2345
AK,CA,26,2345
AK,CA,25,2345
AK,CA,23,2345
AK,CA,23,2345
AK,CA,20,2345
AK,CA,20,2345
AK,CA,19,2345
AK,CA,19,2345
AK,CA,19,2345
AK,CA,19,2345
AK,CA,19,2345
AK,CA,18,2345
AK,CA,18,2345
AK,CA,18,2345
AK,CA,18,2345
AK,CA,17,2345
AK,CA,17,2345
AK,CA,17,2345
AK,CA,17,2345
AK,CA,17,2345
AK,CA,17,2345
AK,CA,17,2345
AK,CA,16,2345
AK,CA,16,2345
AK,CA,15,2345
AK,CA,15,2345
AK,CA,15,2345
AK,CA,15,2345
AK,CA,14,2345
AK,CA,14,2345
AK,CA,13,2345
AK,CA,13,2345
AK,CA,13,2345
AK,CA,12,2345
AL,GA,14,134
AL,NC,41,350
AL,NC,35,350
AL,NC,29,350
AL,NC,25,350
AL,NC,22,350
AL,NC,20,350
AL,NC,18,350
AL,NC,18,350
AL,NC,17,350
AL,NC,15,350
AL,NC,14,350
AL,NC,14,350
AL,NC,13,350
AL,NC,13,350
AL,FL,68,459
AL,FL,60,459
AL,FL,56,459
AL,FL,55,459
AL,FL,55,459
AL,FL,53,459
AL,FL,45,459
AL,FL,43,459
AL,FL,42,459
AL,FL,39,459
AL,FL,38,459
AL,FL,37,459
AL,FL,37,459
AL,FL,34,459
AL,FL,34,459
AL,FL,32,459
AL,FL,30,459
AL,FL,29,459
AL,FL,28,459
AL,FL,28,459
AL,FL,28,459
AL,FL,28,459
AL,FL,28,459
AL,FL,27,459
AL,FL,26,459
AL,FL,26,459
AL,FL,26,459
AL,FL,26,459
AL,FL,26,459
AL,FL,25,459
AL,FL,25,459
AL,FL,24,459
AL,FL,24,459
AL,FL,23,459
AL,FL,22,459
AL,FL,22,459
AL,FL,21,459
AL,FL,21,459
AL,FL,20,459
AL,FL,20,459
AL,FL,19,459
AL,FL,19,459
AL,FL,19,459
AL,FL,19,459
AL,FL,19,459
AL,FL,19,459
AL,FL,18,459
AL,FL,18,459
AL,FL,18,459
AL,FL,18,459
AL,FL,17,459
AL,FL,17,459
AL,FL,17,459
AL,FL,17,459
AL,FL,16,459
AL,FL,16,459
AL,FL,16,459
AL,FL,16,459
AL,FL,16,459
AL,FL,16,459
AL,FL,15,459
AL,FL,15,459
AL,FL,15,459
AL,FL,14,459
AL,FL,14,459
AL,FL,14,459
AL,FL,14,459
AL,FL,13,459
AL,FL,13,459
AL,FL,13,459
AL,FL,13,459
AL,FL,13,459
AL,FL,13,459
AL,FL,13,459
AL,FL,13,459
AL,FL,13,459
AL,FL,13,459
AL,FL,13,459
AL,FL,13,459
AL,FL,12,459
AL,FL,145,479
AL,FL,127,479
AL,FL,109,479
